iter	RMSE
0	2.183780405
1	2.139051402
2	2.096297343
3	2.056075661
4	2.017694064
5	1.980869552
6	1.945729569
7	1.912454229
8	1.881118714
9	1.851395769
10	1.823246475
11	1.796188676
12	1.77142011
13	1.747734065
14	1.724692576
15	1.701331742
16	1.67925043
17	1.658538991
18	1.637969232
19	1.619627786
20	1.60183338
21	1.584792769
22	1.568716117
23	1.554346956
24	1.540037043
25	1.525856031
26	1.513231438
27	1.500871373
28	1.489178425
29	1.478136411
30	1.467582184
31	1.457457504
32	1.447514954
33	1.438164363
34	1.429496164
35	1.421249744
36	1.412991104
37	1.405274314
38	1.397654465
39	1.39076332
40	1.384311712
41	1.377458758
42	1.371091497
43	1.364993532
44	1.359285687
45	1.353991944
46	1.349041274
47	1.344053294
48	1.339471269
49	1.335242122
50	1.331013229
51	1.327021165
52	1.323151708
53	1.319464044
54	1.315916829
55	1.312525761
56	1.309431749
57	1.306434537
58	1.303549978
59	1.300877297
60	1.298116918
61	1.295680878
62	1.293277337
63	1.29103918
64	1.288788884
65	1.286702545
66	1.284708298
67	1.282684086
68	1.280832207
69	1.279044524
70	1.277343615
71	1.275598522
72	1.274042714
73	1.272474296
74	1.270915313
75	1.269479882
76	1.26809336
77	1.26669945
78	1.265425927
79	1.26413034
80	1.262892906
81	1.261497758
82	1.260357333
83	1.259341464
84	1.258312118
85	1.257364162
86	1.256326722
87	1.255454868
88	1.254428562
89	1.253462927
90	1.252542007
91	1.251598881
92	1.250710262
93	1.249759454
94	1.248961914
95	1.24815769
96	1.247362138
97	1.246671511
98	1.246006705
99	1.245297612
100	1.244695837
101	1.244000135
102	1.243340901
103	1.242626484
104	1.242046174
105	1.241441114
106	1.240827216
107	1.240294859
108	1.239848891
109	1.239241965
110	1.238720088
111	1.238227771
112	1.23777068
113	1.237355278
114	1.236853033
115	1.23640568
116	1.235997057
117	1.235407249
118	1.234977231
119	1.23456999
120	1.234142611
121	1.233789954
122	1.233377696
123	1.233005266
124	1.232659374
125	1.232257103
126	1.231873886
127	1.231520382
128	1.231182946
129	1.230819845
130	1.230509899
131	1.230214794
132	1.229913804
133	1.229603027
134	1.229174678
135	1.228910854
136	1.228606492
137	1.228229814
138	1.227828991
139	1.227568152
140	1.22728869
141	1.227024793
142	1.226784744
143	1.226539202
144	1.22633219
145	1.226099844
146	1.225882596
147	1.225666768
148	1.225449633
149	1.225242824
150	1.224859219
151	1.224588771
152	1.224293863
153	1.224105201
154	1.223868859
155	1.223630491
156	1.223347768
157	1.223143345
158	1.222954513
159	1.222801442
160	1.222615174
161	1.222394977
162	1.222077509
