iter	Passed	Remaining
0	184	156471
1	245	104069
2	305	86283
3	388	82250
4	439	74219
5	495	69689
6	555	66872
7	611	64367
8	665	62229
9	723	60773
10	781	59620
11	843	58934
12	902	58095
13	957	57155
14	1009	56168
15	1061	55350
16	1121	54948
17	1177	54408
18	1233	53938
19	1286	53375
20	1342	53001
21	1418	53374
22	1470	52858
23	1537	52899
24	1634	53950
25	1724	54662
26	1810	55185
27	1897	55693
28	1992	56400
29	2088	57087
30	2175	57480
31	2259	57770
32	2352	58253
33	2442	58628
34	2541	59170
35	2654	60022
36	2737	60152
37	2828	60433
38	2909	60492
39	3001	60780
40	3088	60944
41	3184	61254
42	3274	61444
43	3361	61577
44	3448	61684
45	3535	61796
46	3630	62026
47	3722	62202
48	3809	62269
49	3905	62483
50	3992	62555
51	4080	62618
52	4173	62760
53	4258	62771
54	4352	62914
55	4441	62976
56	4536	63106
57	4636	63309
58	4735	63489
59	4822	63492
60	4915	63584
61	5004	63604
62	5094	63639
63	5183	63656
64	5279	63762
65	5378	63884
66	5471	63939
67	5566	64011
68	5657	64040
69	5752	64094
70	5842	64103
71	5934	64124
72	6023	64112
73	6114	64120
74	6202	64093
75	6291	64077
76	6380	64057
77	6469	64031
78	6561	64035
79	6657	64082
80	6749	64083
81	6835	64022
82	6930	64041
83	7012	63947
84	7095	63855
85	7200	63966
86	7286	63899
87	7376	63877
88	7466	63840
89	7556	63806
90	7654	63843
91	7749	63851
92	7844	63851
93	7930	63783
94	8018	63724
95	8107	63674
96	8211	63747
97	8303	63717
98	8394	63682
99	8484	63632
100	8569	63552
101	8659	63506
102	8754	63494
103	8841	63417
104	8927	63339
105	9016	63287
106	9135	63434
107	9230	63414
108	9370	63702
109	9475	63746
110	9568	63702
111	9656	63628
112	9750	63592
113	9844	63559
114	9937	63515
115	10039	63528
116	10131	63474
117	10214	63364
118	10310	63334
119	10403	63289
120	10488	63192
121	10588	63180
122	10683	63144
123	10787	63159
124	10875	63077
125	10967	63020
126	11056	62943
127	11142	62848
128	11236	62800
129	11328	62740
130	11416	62659
131	11506	62590
132	11600	62538
133	11712	62583
134	11807	62536
135	11897	62462
136	11984	62369
137	12070	62278
138	12157	62187
139	12252	62139
140	12342	62063
141	12434	61996
142	12525	61925
143	12618	61864
144	12708	61787
145	12798	61715
146	12889	61642
147	12983	61584
148	13079	61533
149	13173	61478
150	13255	61362
151	13347	61290
152	13434	61203
153	13525	61127
154	13619	61068
155	13713	61009
156	13802	60925
157	13893	60849
158	13988	60794
159	14119	60890
160	14206	60795
161	14294	60709
162	14380	60611
163	14469	60523
164	14556	60433
165	14645	60347
166	14734	60261
167	14829	60200
168	14921	60126
169	15010	60042
170	15102	59969
171	15200	59919
172	15294	59850
173	15383	59765
174	15466	59655
175	15560	59590
176	15645	59490
177	15734	59401
178	15827	59331
179	15915	59241
180	16002	59148
181	16099	59088
182	16192	59018
183	16284	58941
184	16378	58875
185	16459	58758
186	16555	58695
187	16647	58620
188	16739	58545
189	16837	58487
190	16931	58417
191	17023	58341
192	17114	58260
193	17207	58185
194	17293	58088
195	17381	57996
196	17476	57930
197	17564	57837
198	17651	57742
199	17746	57676
200	17831	57576
201	17917	57479
202	18011	57407
203	18104	57331
204	18192	57241
